O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,AC_NO,Position,Party Code
1,GOVINDARAJAN T.J,Dravida Munnetra Kazhagam,125001,1451,126452,56.94,1,1,DMK
1,DURAI. CHANDRASEKAR,Indian National Congress,93669,859,94528,44.94,2,1,INC
3,S.Chandran,Dravida Munnetra Kazhagam,118005,2309,120314,51.72,3,1,DMK
1,"RAAJENDRAN, V.G.",Dravida Munnetra Kazhagam,106316,1393,107709,50.27,4,1,DMK
1,Krishnaswamy A,Dravida Munnetra Kazhagam,148383,1195,149578,56.72,5,1,DMK
3,Nasar S M,Dravida Munnetra Kazhagam,148845,1442,150287,49.94,6,1,DMK
1,GANAPATHY.K,Dravida Munnetra Kazhagam,120441,857,121298,44.29,7,1,DMK
3,JOSEPH SAMUEL,Dravida Munnetra Kazhagam,113371,1183,114554,47.67,8,1,DMK
1,SUDHARSANAM. S,Dravida Munnetra Kazhagam,150654,831,151485,50.04,9,1,DMK
3,K.P.SHANKAR,Dravida Munnetra Kazhagam,87703,482,88185,44.09,10,1,DMK
1,EBENEZER. J.J. (@) JOHN EBENEZER.J,Dravida Munnetra Kazhagam,95516,247,95763,51.2,11,1,DMK
2,SHEKAR. R.D,Dravida Munnetra Kazhagam,104580,687,105267,52.53,12,1,DMK
3,M.K. STALIN,Dravida Munnetra Kazhagam,104305,1217,105522,60.86,13,1,DMK
4,A . Vetriazhagan,Dravida Munnetra Kazhagam,75347,780,76127,52.83,14,1,DMK
2,SIVAKUMAR.P,Dravida Munnetra Kazhagam,81283,444,81727,61.13,15,1,DMK
2,I.PARANTHAMEN,Dravida Munnetra Kazhagam,68160,672,68832,57.71,16,1,DMK
2,MURTHY.R.IDREAM,Dravida Munnetra Kazhagam,64095,329,64424,53.16,17,1,DMK
1,SEKARBABU. P.K,Dravida Munnetra Kazhagam,59073,244,59317,58.35,18,1,DMK
1,UDHAYANIDHI STALIN,Dravida Munnetra Kazhagam,92636,649,93285,67.89,19,1,DMK
1,EZHILAN N,Dravida Munnetra Kazhagam,71437,430,71867,52.87,20,1,DMK
2,M.K. Mohan,Dravida Munnetra Kazhagam,79356,698,80054,48.49,21,1,DMK
2,AMV.PRABHAKARA RAJA,Dravida Munnetra Kazhagam,73814,537,74351,43.97,22,1,DMK
2,SUBRAMANIAN. MA,Dravida Munnetra Kazhagam,79492,479,79971,49.88,23,1,DMK
1,KARUNANITHI J,Dravida Munnetra Kazhagam,55465,570,56035,40.57,24,1,DMK
3,VELU.DHA,Dravida Munnetra Kazhagam,67919,473,68392,44.58,25,1,DMK
1,JMH.AASSAN MAULAANA,Indian National Congress,67998,495,68493,38.76,26,1,INC
1,S.ARAVINDRAMESH,Dravida Munnetra Kazhagam,168361,0,168361,44.12,27,1,DMK
1,T.M.Anbarasan,Dravida Munnetra Kazhagam,110481,0,110481,49.85,28,1,DMK
1,SELVAPERUNTHAGAI,Indian National Congress,114554,799,115353,43.65,29,1,INC
2,KARUNANITHI,Dravida Munnetra Kazhagam,106952,0,106952,46.69,30,1,DMK
1,Raja.S.R,Dravida Munnetra Kazhagam,115721,1119,116840,46.93,31,1,DMK
2,VARALAKSHMI.M,Dravida Munnetra Kazhagam,129317,1256,130573,47.64,32,1,DMK
4,S.S.Balaji,Viduthalai Chiruthaigal Katchi,92987,967,93954,41.44,33,1,VCK
5,Babu M,Viduthalai Chiruthaigal Katchi,81533,1217,82750,46.2,34,1,VCK
3,Maragatham. K,All India Anna Dravida Munnetra Kazhagam,85791,855,86646,46.62,35,1,AIADMK
1,SUNDAR K,Dravida Munnetra Kazhagam,92161,1266,93427,44.38,36,1,DMK
1,C.V.M.P. Ezhailzrasan,Dravida Munnetra Kazhagam,100914,1798,102712,44.77,37,1,DMK
2,S.RAVI,All India Anna Dravida Munnetra Kazhagam,85057,342,85399,49.82,38,1,AIADMK
2,A.M.MUNIRATHINAM,Indian National Congress,109138,1090,110228,49.18,39,1,INC
1,DURAIMURUGAN,Dravida Munnetra Kazhagam,83243,1897,85140,45.71,40,1,DMK
1,R.GANDHI,Dravida Munnetra Kazhagam,102273,1018,103291,49.79,41,1,DMK
1,J.L.Eswarappan,Dravida Munnetra Kazhagam,102667,1218,103885,49.52,42,1,DMK
2,Karthikeyan .P,Dravida Munnetra Kazhagam,82907,1392,84299,46.86,43,1,DMK
1,A.P.Nandakumar,Dravida Munnetra Kazhagam,94084,1075,95159,48.11,44,1,DMK
4,M.JAGAN MOORTHY,All India Anna Dravida Munnetra Kazhagam,83989,590,84579,48.57,45,1,AIADMK
1,Amulu.V,Dravida Munnetra Kazhagam,99525,887,100412,47.45,46,1,DMK
1,G.SENDHIL KUMAR,All India Anna Dravida Munnetra Kazhagam,87340,678,88018,46.33,47,1,AIADMK
3,VILWANATHAN.A.C,Dravida Munnetra Kazhagam,89561,915,90476,50.86,48,1,DMK
2,DEVARAJI.K.,Dravida Munnetra Kazhagam,88237,1253,89490,45.57,49,1,DMK
1,A. NALLATHAMBI,Dravida Munnetra Kazhagam,95067,1455,96522,51.91,50,1,DMK
2,T.M.TAMILSELVAM,All India Anna Dravida Munnetra Kazhagam,98973,702,99675,52.96,51,1,AIADMK
3,MATHIAZHAGAN D,Dravida Munnetra Kazhagam,95852,1404,97256,49.17,52,1,DMK
1,Ashokkumar.K,All India Anna Dravida Munnetra Kazhagam,95300,750,96050,45.38,53,1,AIADMK
3,K.P.Munusamy,All India Anna Dravida Munnetra Kazhagam,93855,249,94104,45.87,54,1,AIADMK
1,PRAKAASH Y,Dravida Munnetra Kazhagam,117199,1032,118231,47.65,55,1,DMK
1,RAMACHANDRAN.T,Communist Party of India,119621,1020,120641,62.18,56,1,CPOI
2,ANBALAGAN.K.P.,All India Anna Dravida Munnetra Kazhagam,109105,965,110070,53.28,57,1,AIADMK
6,MANI. G.K,Pattali Makkal Katchi,105250,873,106123,50.46,58,1,PMK
9,VENKATESHWARAN.S.P.,Pattali Makkal Katchi,104415,1215,105630,48.6,59,1,PMK
2,GOVINDASAMY.A,All India Anna Dravida Munnetra Kazhagam,113397,1110,114507,51.81,60,1,AIADMK
2,SAMPATHKUMAR.V,All India Anna Dravida Munnetra Kazhagam,98130,931,99061,49.89,61,1,AIADMK
2,GIRI.M.P,Dravida Munnetra Kazhagam,106185,1896,108081,48.26,62,1,DMK
3,E V VELU,Dravida Munnetra Kazhagam,134987,2889,137876,66.02,63,1,DMK
2,K.Pitchandi,Dravida Munnetra Kazhagam,102713,1962,104675,51.34,64,1,DMK
1,Saravanan.P.S.T,Dravida Munnetra Kazhagam,92712,1422,94134,47.92,65,1,DMK
2,Agri KRISHNAMURTHY. S S,All India Anna Dravida Munnetra Kazhagam,96878,854,97732,48.38,66,1,AIADMK
4,S.RAMACHANDRAN,All India Anna Dravida Munnetra Kazhagam,102225,736,102961,46.5,67,1,AIADMK
3,JOTHI. O,Dravida Munnetra Kazhagam,101080,1380,102460,47.78,68,1,DMK
1,Ambethkumar S,Dravida Munnetra Kazhagam,100951,1113,102064,54.88,69,1,DMK
1,MASTHAN K S,Dravida Munnetra Kazhagam,107683,1942,109625,52.99,70,1,DMK
5,SIVAKUMAR C,Pattali Makkal Katchi,80203,841,81044,45.79,71,1,PMK
1,ARJUNAN P,All India Anna Dravida Munnetra Kazhagam,86155,997,87152,47.74,72,1,AIADMK
2,CHAKRAPANI M,All India Anna Dravida Munnetra Kazhagam,91501,718,92219,50.61,73,1,AIADMK
1,LAKSHMANAN R,Dravida Munnetra Kazhagam,100423,1848,102271,49.92,74,1,DMK
2,PUGAZHENTHI N,Dravida Munnetra Kazhagam,92621,1109,93730,48.41,75,1,DMK
3,K.PONMUDY,Dravida Munnetra Kazhagam,109226,1754,110980,56.56,76,1,DMK
3,MANIKANNAN A J,Dravida Munnetra Kazhagam,114344,1107,115451,47.15,77,1,DMK
1,KARTHIKEYAN K,Dravida Munnetra Kazhagam,112998,914,113912,52.96,78,1,DMK
1,UDHAYASURIYAN T,Dravida Munnetra Kazhagam,119487,1699,121186,56.16,79,1,DMK
5,Senthilkumar.M,All India Anna Dravida Munnetra Kazhagam,109909,734,110643,48.99,80,1,AIADMK
2,"NALLATHAMBI,A.",All India Anna Dravida Munnetra Kazhagam,88900,668,89568,48.02,81,1,AIADMK
3,"JAYASANKARAN, A.P.",All India Anna Dravida Munnetra Kazhagam,94262,1046,95308,47.72,82,1,AIADMK
2,G. Chitra,All India Anna Dravida Munnetra Kazhagam,120542,1019,121561,50.88,83,1,AIADMK
2,R.MANI,All India Anna Dravida Munnetra Kazhagam,141527,961,142488,57.22,84,1,AIADMK
4,SADHASIVAM.S,Pattali Makkal Katchi,95795,1260,97055,44.43,85,1,PMK
2,EDAPPADI PALANISWAMI. K,All India Anna Dravida Munnetra Kazhagam,160931,2223,163154,65.97,86,1,AIADMK
1,"SUNDARARAJAN, S.",All India Anna Dravida Munnetra Kazhagam,114376,1096,115472,49.72,87,1,AIADMK
4,ARUL. R,Pattali Makkal Katchi,104728,755,105483,48.69,88,1,PMK
1,R. RAJENDRAN,Dravida Munnetra Kazhagam,91222,2210,93432,46.17,89,1,DMK
2,E.BALASUBRAMANIAN,All India Anna Dravida Munnetra Kazhagam,96787,719,97506,48.76,90,1,AIADMK
3,"RAJAMUTHU, M.",All India Anna Dravida Munnetra Kazhagam,111081,601,111682,49.92,91,1,AIADMK
2,MATHIVENTHAN M,Dravida Munnetra Kazhagam,88612,2115,90727,46.08,92,1,DMK
2,PONNUSAMY K,Dravida Munnetra Kazhagam,89146,1535,90681,45.51,93,1,DMK
5,RAMALINGAM P,Dravida Munnetra Kazhagam,103480,3014,106494,51.51,94,1,DMK
2,SEKAR S,All India Anna Dravida Munnetra Kazhagam,84593,1441,86034,46.83,95,1,AIADMK
1,ESWARAN E R,Dravida Munnetra Kazhagam,79934,1754,81688,44.23,96,1,DMK
2,THANGAMANI.P,All India Anna Dravida Munnetra Kazhagam,100201,599,100800,49.92,97,1,AIADMK
2,"THIRUMAHAN EVERAA,E.",Indian National Congress,66497,803,67300,44.27,98,1,INC
3,Muthusamy S,Dravida Munnetra Kazhagam,99032,1725,100757,49.01,99,1,DMK
1,SARASWATHI.C,Bharatiya Janata Party,77653,472,78125,42.96,100,1,BJP
1,KAYALVIZHI N,Dravida Munnetra Kazhagam,88471,1515,89986,46.39,101,1,DMK
2,SAMINATHAN.M.P,Dravida Munnetra Kazhagam,93178,1019,94197,47.14,102,1,DMK
4,"JAYAKUMAR, S.",All India Anna Dravida Munnetra Kazhagam,84532,593,85125,44.84,103,1,AIADMK
1,KARUPPANAN.K.C,All India Anna Dravida Munnetra Kazhagam,100285,630,100915,50.11,104,1,AIADMK
3,VENKATACHALAM.A.G,Dravida Munnetra Kazhagam,78038,1058,79096,44.84,105,1,DMK
1,SENGOTTAIYAN K.A,All India Anna Dravida Munnetra Kazhagam,107571,1037,108608,50.68,106,1,AIADMK
3,A.Bannari,All India Anna Dravida Munnetra Kazhagam,98934,247,99181,49.45,107,1,AIADMK
1,"GANESH, R.",Indian National Congress,64148,1382,65530,46.44,108,1,INC
2,PON.JAYASEELAN,All India Anna Dravida Munnetra Kazhagam,63810,686,64496,46.65,109,1,AIADMK
2,"Ramachandran, K.",Dravida Munnetra Kazhagam,60471,1349,61820,45.49,110,1,DMK
2,SELVARAJ A K,All India Anna Dravida Munnetra Kazhagam,104632,599,105231,46.75,111,1,AIADMK
2,"DHANAPAL, P",All India Anna Dravida Munnetra Kazhagam,116674,610,117284,55.16,112,1,AIADMK
4,VIJEYAKUMAR.K.N,All India Anna Dravida Munnetra Kazhagam,113119,265,113384,47.62,113,1,AIADMK
3,SELVARAJ. K.,Dravida Munnetra Kazhagam,74944,591,75535,43.31,114,1,DMK
2,ANANDAN M S M,All India Anna Dravida Munnetra Kazhagam,126437,466,126903,48.53,115,1,AIADMK
1,KANDASAMY V.P.,All India Anna Dravida Munnetra Kazhagam,118221,747,118968,49.23,116,1,AIADMK
1,G.Arunkumar,All India Anna Dravida Munnetra Kazhagam,134981,688,135669,43.78,117,1,AIADMK
1,AMMAN K.ARJUNAN,All India Anna Dravida Munnetra Kazhagam,80815,639,81454,40.16,118,1,AIADMK
2,S.P. VELUMANI,All India Anna Dravida Munnetra Kazhagam,123538,687,124225,53.89,119,1,AIADMK
3,VANATHI SRINIVASAN,Bharatiya Janata Party,52627,582,53209,34.38,120,1,BJP
2,"Jayaram, K.R",All India Anna Dravida Munnetra Kazhagam,80437,807,81244,40.22,121,1,AIADMK
2,Damodaran.S,All India Anna Dravida Munnetra Kazhagam,101069,468,101537,43.68,122,1,AIADMK
2,Pollachi V. Jayaraman,All India Anna Dravida Munnetra Kazhagam,79906,661,80567,45.44,123,1,AIADMK
1,AMULKANDASAMI T K,All India Anna Dravida Munnetra Kazhagam,71128,544,71672,49.37,124,1,AIADMK
3,"Radhakrishnan,K.",All India Anna Dravida Munnetra Kazhagam,95953,940,96893,49.85,125,1,AIADMK
2,C MAHENDRAN,All India Anna Dravida Munnetra Kazhagam,83634,679,84313,46.35,126,1,AIADMK
1,SENTHIL KUMAR I.P,Dravida Munnetra Kazhagam,107049,1517,108566,52.86,127,1,DMK
1,SAKKARAPANI R,Dravida Munnetra Kazhagam,108990,980,109970,54.51,128,1,DMK
2,PERIYASAMY I,Dravida Munnetra Kazhagam,164169,1640,165809,72.11,129,1,DMK
2,S.Thenmozhi,All India Anna Dravida Munnetra Kazhagam,90857,604,91461,49.49,130,1,AIADMK
3,NATHAM.R.VISWANATHAN,All India Anna Dravida Munnetra Kazhagam,107255,507,107762,47.84,131,1,AIADMK
2,SREENIVASAN.C,All India Anna Dravida Munnetra Kazhagam,89685,910,90595,46.43,132,1,AIADMK
